,Entity,Code,Year,bioenergy,geothermal,offshore_wind,solar_photovoltaic,concentrated_solar_power,hydropower,onshore_wind
25,World,OWID_WRL,1984,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.358735
26,World,OWID_WRL,1985,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.333092
27,World,OWID_WRL,1986,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.295648
28,World,OWID_WRL,1987,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.28683
29,World,OWID_WRL,1988,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.236475
30,World,OWID_WRL,1989,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.218724
31,World,OWID_WRL,1990,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.23258
32,World,OWID_WRL,1991,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.223092
33,World,OWID_WRL,1992,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.223509
34,World,OWID_WRL,1993,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.235127
35,World,OWID_WRL,1994,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.221469
36,World,OWID_WRL,1995,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.231539
37,World,OWID_WRL,1996,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.206777
38,World,OWID_WRL,1997,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.18093
39,World,OWID_WRL,1998,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.169605
40,World,OWID_WRL,1999,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.166985
18,World,OWID_WRL,2000,0.086697,0.106372,0.185067,0.04262,0.091843,0.056526,0.178808
19,World,OWID_WRL,2001,0.086697,0.106372,0.175034,0.04262,0.091843,0.056526,0.156931
20,World,OWID_WRL,2002,0.086697,0.106372,0.148301,0.04262,0.091843,0.056526,0.145083
21,World,OWID_WRL,2003,0.086697,0.106372,0.136784,0.04262,0.091843,0.056526,0.127091
22,World,OWID_WRL,2004,0.086697,0.106372,0.194058,0.04262,0.091843,0.056526,0.129223
23,World,OWID_WRL,2005,0.086697,0.106372,0.163222,0.04262,0.091843,0.056526,0.120997
24,World,OWID_WRL,2006,0.086697,0.106372,0.160814,0.04262,0.091843,0.056526,0.124484
15,World,OWID_WRL,2007,0.086697,0.055141,0.229964,0.04262,0.091843,0.056526,0.113363
16,World,OWID_WRL,2008,0.086697,0.06138,0.232585,0.04262,0.091843,0.056526,0.119349
17,World,OWID_WRL,2009,0.086697,0.106372,0.214016,0.04262,0.091843,0.056526,0.117008
0,World,OWID_WRL,2010,0.085815,0.05533,0.207873,0.416956,0.401626,0.044167,0.11268
1,World,OWID_WRL,2011,0.082245,0.075308,0.215367,0.349902,0.388883,0.041529,0.106706
2,World,OWID_WRL,2012,0.070471,0.095286,0.185082,0.260022,0.379324,0.043207,0.097705
3,World,OWID_WRL,2013,0.090375,0.070742,0.156021,0.200221,0.279589,0.04829,0.098457
4,World,OWID_WRL,2014,0.090555,0.072156,0.189964,0.182866,0.242866,0.037728,0.087883
5,World,OWID_WRL,2015,0.07967,0.064923,0.154948,0.135105,0.251364,0.041542,0.075816
6,World,OWID_WRL,2016,0.077862,0.074959,0.128386,0.118349,0.279035,0.054965,0.070178
7,World,OWID_WRL,2017,0.077739,0.078424,0.116626,0.092945,0.232843,0.057615,0.065777
8,World,OWID_WRL,2018,0.059894,0.07569,0.114166,0.07864,0.166988,0.045251,0.055872
9,World,OWID_WRL,2019,0.070283,0.074699,0.094946,0.068642,0.238029,0.046389,0.048891
10,World,OWID_WRL,2020,0.079332,0.062747,0.091455,0.061,0.119094,0.052213,0.040604
11,World,OWID_WRL,2021,0.073505,0.075067,0.081926,0.054526,0.12675,0.054504,0.03613
12,World,OWID_WRL,2022,0.063895,0.058841,0.080761,0.051092,0.124412,0.062645,0.034221
13,World,OWID_WRL,2023,0.072727,0.072444,0.076452,0.042378,0.119597,0.05842,0.033129
14,World,OWID_WRL,2024,0.086697,0.059874,0.079117,0.04262,0.091843,0.056526,0.033981
41,World,OWID_WRL,2030,0.074085,0.057737,0.119433,0.138826,0.235779,0.049557,0
